dt,feedback_text_en
2019-03-06,"Dear Madam Dear sir Last Monday (11.03.xxxxx I received the following message from xxx: &quot;Your package comes in 1-2 business days Good news xxx, your package has just left the warehouse and is on its way to you, shipment number xxxxxxxxxxxxxxxxxx . &quot;When tracking the mail on the post page is still the following status:&quot; Mon 11.03.xxxx 18:12 Registration of the shipment by sender (data delivery). &quot;Since the 1-2 business days are over and also the time from 24 to 48 Hours for tracking the shipment is reached and the send status is still unchanged at the time the sender registers the shipment until today, I allow myself to inquire if the package has been left somewhere. Thank you for the clarification macho"
2019-04-08,"Hello, My question goes to order no. xxx. I sent the package back a week ago, but I still have to pay. Exactly same situation is with the order no. xxx article no. Xxxxxxo2V -N11."
2019-03-17,Shoe is too small - no return label in the box. Kind regards
2019-04-01,"Hello, Today I received a payment reminder. Og order was tried me on 12.03. but I could only deliver on 15.03. pick up from the packing station. Yesterday I returned the order completely because nothing was really satisfactory fit. With the xxx tax I have the deadline of 14 days right of return. Ref. Of the return slip: xxx, parcel shop xxxxxx, ATG xxx, xxx sincerely, xxx"
2019-04-01,"Hi, For this I have sent a return to you, which unfortunately was booked for the wrong delivery. Please check and brief info. Thank you and kind regards xxx"
2019-03-25,"I wore the bangle only once. The alloy is very poor. Wants to wear the bracelet today and noticed that it is spotty and that xxx operate. I ask for a refund of the amount paid. How is the return done? LG, xxx"
2019-05-01,"Hello dear xxx-Team, recently I have returned 2 of 3 ordered items. The paid article I have already paid by bank transfer. Now, xxx has posted the wrong items on the return and I should erroneously pay a balance. I ask for examination and correction. Many Thanks. Sincerely, xxx"
2019-03-26,"Hello, I need a return label, I had ordered 5 jeans, but 3 of them already sent back. But so far have received no confirmation of receipt. I have kept a pair of jeans, and forget the last jeans with the other 3 jeans to send back to you. I hope you can help me there. Yours sincerely"
2019-05-06,Selection + Price
2019-03-17,"Hello, I have sent all three items from the order back in the same package. xxx only confirmed two of the articles to me. When does the confirmation of the third article arrive? Best regards xxx"
2019-04-05,I received a reminder today by e-mail. I did not pay the 46.00.-. But I have the pants back!
2019-04-05,"I kept only two rucksacks from this order, which came in two deliveries. From the second delivery I have all Guess backpacks etournuert, this amount has not been rewritten me well yet? Ask for clarification and answer, LG Sibylle Jauk"
2019-03-27,"Hello, The problem is that I sent the goods back and you still bill me. According to the consignment package has arrived at your place. I do not understand why the fraud still needs to be paid. xxx"
2019-04-01,"Dear Ladies and Gentlemen, The partial shipment of xxx (1 pair of trousers) is according to shipment tracking since 27.3. logged in at the post office, but nothing has happened since then. This partial delivery has not arrived until today. Do I not understand something or could you check it? Thank you for your help and best regards, xxx"
2019-04-09,I would like to return the two BHS from Triumph and need a return label please.
2019-03-27,"I have returned this item and received a confirmation from the xxx team on March 8th just with the wrong order number. But have received a reminder that this article was not paid, please correction. xxx, we have received your return - thank you. There is thus no open invoice amount for this order. In the meantime, if you have fully paid the original invoice amount, you will be credited the amount for the returned items back to your checking account. Once the payment service provider / bank has processed the refund, the credit will appear on your account. In the following overview we have summarized everything important for your return for you: Order number: xxxxxxxxxxxxxx Payment: Credit: Invoice 9,95 € xxx of your resent articles: Product 2 PACK - Tights - pearl Size: 98-xxxxNow buy similar items now"
2019-04-29,"Hello, I need a return label please, in the delivery of NEXT was none. There was also no order overview. Thanks xxx"
2019-04-25,"Hello! In the set of 3 longsleeve are the white long sleeve shirt on the collar slight purple spots, which unfortunately I have just noticed. Yesterday I had already set the labels - but not yet worn! I never try such basics shirt ... I have not yet sent back the return package. Should I pack the set of 3 with the bike tours? How is the process here? At the end I want to have a set of 3 without mistakes. Greetings, xxx"
2019-03-28,"Hello, I would like to return some items because they do not like me a) or b) are too big / small. However, I can not select articles on your website when I go to the return option. I hope I am correct in the assumption that everything is also correct, if I return the articles without further information on this side (with appropriate return slip) and simply the articles pay, which I keep also? I will then specify the article numbers in the transfer. Then it is understandable to you, which articles I keep and which not. LG, xxx"
2019-03-21,"Dear Ladies and Gentlemen, yesterday, on 22.03.19, I picked up the new shipmentxxxxxxxxxxxxxx in the packing station and then sent 2 parcels (one directly to xxx, the other to your partner) to the above order via the parcel station and - as always - send the receipts by e-mail. Unfortunately, the evidence (I had never) not by mail arrived with me (not synonymous in Spanordner). Likewise, the new shipment is considered not picked up - I have today received a reminder from DHL, the shipment would still be in the packing station and waiting for pickup. But the show has been at my home since yesterday. Furthermore, I have now received the message from DHL, the Packstation is currently not available. Apparently something is broken. I have already written an email to DHL. I just hope now, the returns come even if I have no proof - but in any case wanted to inform you in advance. All images of the error message DHL and even the package sends to me, I could send you immediately. Sincerely xxx"
2019-04-09,"Hello, I have already paid for these items that I have kept. Yours sincerely, xxx"
2019-05-16,"I have the items in their original packaging and put them back in carton. It was not a return sheet so it&#39;s just the goods in the box, there could be problems that they can not assign"
2019-04-25,"Hello xxx team. After returning some items from the above order, my husband mistakenly transferred the original amount of xxxx81 € on 26.4.19 instead of the actual amount of 96.16 €. I received the confirmation of receipt as well as the confirmation of payment a few days ago, only no reply, credit or remittance of the overpaid amount. On 28.4.19 I wrote an eMail to &quot;xxxxxxxxxxxxxxxxxxxx&quot;, but got no answer. Since me and my husband are very good xxx clients, we hope for a quick clarification and credit on my customer account or remittance of the overpaid amount. Best regards xxx"
2019-04-24,My packet is not there yet. What happened?
2019-03-25,"Dear xxx-Team, with this order I also sent back a few strappy sandals from Anna Field. These are not listed here ... also I can not recognize the return on my order account. xxx (I have written to you in this regard already on 27.06.18 + 18.11.18 and received until today no feedback!)"
2019-04-09,"Hello, is there a shipping date? Usually you ship within two business days. Many thanks, best regards, xxx"
2019-05-29,"Dear xxx Team, It&#39;s about the order number: xxx I ordered 2 pairs of Nike shoes from xxx, but they are too small for me, so I wanted to send them back. The problem is that there is no return slip in the package. I have called 3 times in the last weeks and explained my concern, they also told me that they will help me. I am trying this way now, because I received the 3 reminder, but I can not send the goods back because I have no return shipment. The remaining amount was transferred by me. I would pay the postage itself, but I do not know which address I should send the return. Greetings xxx Nadjibi"
2019-04-02,I just accidentally made the transfer without purpose. xxx happening now?
2019-03-27,"Hello, the left shoe is damaged. The fabric dissolves on the right side of the seam, which runs centrally over the shoe."
2019-05-03,It goes fast
2019-04-02,"I have received a payment reminder, although the packages have not even arrived at my place !! Please check this"
2019-04-08,"Hello, did you receive my return? I have sent these back already 5 days ago. Best regards xxx"
2019-04-26,Everything OK
2019-04-05,"Dear Sirs, I would like to return part of an order. This is a partner item that does not come with a return envelope. Can you give me one in this regard? Many Thanks. Sincerely, xxx"
2019-03-17,"Dear xxx Team, Since Friday I get from you via e-mail repeatedly the same e-mail with an invoice from the above order (specifically the desigual blouse). In the meantime, I have received 14 e-mails with the same content from you. The blouse was returned and already booked by you as a return. I assume it is a bug in the system, which always sends the same e-mail. It would be nice if you could investigate this and turn it off. Thank you in advance for your help. Sincerely, xxx"
2019-04-09,"xxx Please politely to remission of my reminder fees. I have already made the payment! Best regards, xxx"
2019-03-17,"Hello, according to tracking my package was deposited at a Hermes pickup station. Unfortunately, I did not have a message box letterbox. And now I do not know where to get the package. Please at xxxxxxxxxxÖxxxxxx feedback. Thanks xxx"
2019-03-31,This item is missing from my order today. This is noted on the delivery note but it is missing. Could you send me the article? xxx
2019-03-17,"Hello dear team! Unfortunately, a curious &quot;story&quot;. I have returned the order a while ago and have wondered why I do not receive any information about the return ... today comes suddenly again a package this, which I have returned. I probably did not stick the sticker completely over the sending .. now the post office or the scanner probably did not know! Unfortunately, I do not know where the package was so long, but I would like to return it please !! The sticker is intact - I will ship it again tomorrow and this time mask off the old code! Many Thanks"
2019-03-21,"Good day 19.2. I received a second reminder for CHF 77.00. This amount (without expenses) I had paid on time, after the first reminder already. However, the money came back because apparently the beneficiary details were incorrect. In any case, I then paid again the amount of CHF 77.00, namely on 6 March (including reminder fees). The payment has probably overlapped with your letter (3rd reminder), because I am 5.3. received the third reminder. Now an open amount of CHF 7.00 will appear on my account. These are probably the dunning fees of the third reminder. However, as I have paid the outstanding RG amount before receiving the reminder, I find it incorrect to pay another CHF 7.00. Therefore, I kindly ask you to cancel the reminder fees of the third reminder. Thank you for your understanding and your efforts. Best regards xxx"
2019-03-17,"Hello, I would like to return the suit trousers from &quot;Next&quot;, but unfortunately I did not have a return sticker with me. How should I proceed now?"
2019-04-10,"Hello, unfortunately the jeans after a few days wear just before the back pockets, so not the seam slightly torn. I think that there was already a material defect before. What a pity, because I think the jeans really great. Unfortunately, it is now sold out in my size. Is there a chance for me to complain about the jeans? Best regards xxx post"
2019-04-15,"Dear Ladies and Gentlemen, Unfortunately, I indicated the wrong purpose of the transfer, the correct use would be &quot;xxxxxxxxxxxxxx&quot;. Thank you in advance for your help. Yours sincerely"
2019-04-24,"Dear xxx Team, Yesterday I received my order for the mentioned order number. Unfortunately, the jacket has a shortage, because the inner material is not sewn on the right sleeve. However, since I like the jacket and otherwise fits well, I would still like to take it and ask for a discount. I hope for an early feedback and many thanks in advance. Sincerely, xxx"
2019-03-17,"Dear Ladies and Gentlemen, I have unfortunately received no invoice separately by e-mail. Could you please send me this to xxx so I can pay for the items I want to keep? Thanks in advance xxx"
2019-04-25,"Best.:xxxxxxxxxxxxxx I ask for xxx with VAT. please send the by e-mail VAT no. -Xxxxxxxxxxx Tax ID 18 / xxxxxxxxx For further questions, I am happy to help WITH xxx"
2019-03-17,"Movement is constantly after battery change after. Request for repair or replacement. Best regards, xxx"
2019-04-19,"The above article in Gr. 42 was complained. Her co-worker told me that it was probably noted. However, I have received a reminder and request for payment"
2019-04-25,"Dear Ladies and Gentlemen, Unfortunately, the above article was already damaged when unpacking. A shoe has damage in the form of a scratch in the leather on the heel area, which is made of leather. Should I send you the article back? If you give me part of the purchase amount, I would keep the item too. I will gladly send you photos of the damage if you give me an e-mail address. Best regards, xxx"
2019-03-05,I have already sent these items back to you. Please refund my deposited money.
2019-03-13,"Hello, Unfortunately, the second part of the show did not reach me (Adidas Performance Tights article no. xxx). According to DHL, the shipment could not be delivered in the packing station, was instead brought to a branch and the recipient informed. However, I did not receive an email, SMS, nor was I notified by mail. So I do not know where the shipment is currently located. How should we proceed in this case? Can I order the item again? xxx, xxx"
2019-03-20,"Good day together, when returning below, a pair of shoes were forgot to credit even though they were sent back. Request for reimbursement because the shoe was returned. xxx"
2019-04-16,"Dear xxx-Team, please send me a new return label for the above mentioned article (dungarees new look). On the tab &quot;my orders&quot; it does not work in this case unfortunately. The direct packaging, in which the trousers were, I&#39;ve misplaced, label, etc., but everything is still there - I&#39;m now just assume that the return thus still works? Greetings xxx lace"
2019-03-28,"Please send / provide a return label, as the consignment was not enclosed."
2019-04-09,"hello at a shoe is after 2 times wearing this &quot;pearl&quot; dropped. probably that will not hold if I fix it with a superglue. Request for feedback. thanks and best regards, xxx"
2019-05-03,everything great
2019-04-01,"Dear xxx Team A few days ago I received a reminder from you for the above mentioned bill. Then I scanned the code of the post confirmation receipt. It indicated to me that both my packages were delivered. On the one hand to xxx special services and on the other hand to xxx. I had sent the xxx articles to xxx. You had sent me with my post a shipping adhesive for it. Apparently I made a mistake and the xxx articles should have been sent to you while I should have sent the Reebok articles to this xxx address in xxx. The Reebok articles have arrived at the post office according to the course of mail but also with you. I only bought the article with the number xxxxxxx-Q11 and transferred the amount today. Would you be able to contact your partner (the location in xxxx?) I do not have contact details, so I can not do it myself Thank you for your help and understanding Best regards xxx"
2019-04-25,"Dear Sirs, I bought this xxx watch from my friend. The watch was worn only 2 times and the loss of the bracelet does not hold anymore. The bracelet will always open when worn. In addition, the battery has already become empty. He really likes the watch very much but unfortunately it has many shortcomings. I ask for feedback. Best regards, xxx"
2019-03-13,"Hello I ordered this order with a voucher of 50.00 CHF, but had to return the article. Now I expect a voucher worth 50.00 CHF back. Can you send me a new voucher code by mail? Thank you very much for your prompt reply ..."
2019-03-25,"How can I send you the legally binding declaration and the receipt? Somehow by e-mail? It would be easier, otherwise I would have to return to the copy shop ..."
2019-04-01,"For the order I have received a payment reminder with the threat of a reminder fee. My answer, which unfortunately did not arrive: Dear Customer Service, I think here some automated e-mails have to be checked again! For the order I have, according to my account until 02.04. Time to pay. And here I am threatened with reminder fees! Before even the 14 days after receipt are around! Other than that, I sent the entire order back last week. It should arrive in the warehouse at the latest tomorrow. So I will ignore this email and I strongly hope that the reminder fee will not appear anywhere. Best regards, xxx"
2019-04-01,"Dear ladies and gentlemen, with my order from 19.03.xxxx I kept two articles. These are a pair of jeans (Article No. xxx) and a skinny bra in black (Article No. xxx). Now, according to the return, the two skinny bras are to pay. Have now, according to my state, 53.40 € transferred to you today. If you have further questions, you can contact me by email. Sincerely, xxx"
2019-04-08,When can you send my order?
2019-04-01,"For the order I have received a payment reminder with the threat of a reminder fee. My answer, which unfortunately did not arrive: Dear Customer Service, I think here some automated e-mails have to be checked again! For the order I have, according to my account until 02.04. Time to pay. And here I am threatened with reminder fees! Before even the 14 days after receipt are around! Other than that, I sent the entire order back last week. It should arrive in the warehouse at the latest tomorrow. So I will ignore this email and I strongly hope that the reminder fee will not appear anywhere. Best regards, xxx"
2019-03-28,"Hello, unfortunately, when ordering an old address was active, the order was sent back. Can this be sent to my new address again? This is updated in the customer account. New: Franziska xxx 10 xxxxx East Thank you"
2019-04-08,"Hello, I have ordered these shoes and have chosen the payment method &quot;Invoice&quot;. However, when ordering &quot;waiting for what does that mean?"
2019-03-17,"Hello, why can not I order for a long time on account or credit card but only by pre-payment? This is a bit cumbersome .. Best regards xxx"
2019-03-27,"Dear Ladies and Gentlemen, On 15.3.19 I received a reminder from you. On 17.3.19 I informed you that I had already paid the bill on 25.2.19 by bank transfer. On my mail from 17.3. I have not received an answer to date and as I have just stated, the amount has still not been credited to my account. Please check your incoming payments again, because I was charged the amount on 25.2.19 my account. Sincerely xxx"
2019-04-05,"Good day I have received the reminder by mail and of course take care of it. I never check my emails, so the delay. I looked in my account and can not explain how even a bill is open. I made two payments on 14.2.19 ... 1 × xxxx- on xxx SE CH43 xxx 0 and 1 x xxxx85 CHF on Zalon CH43 xxx 0. Can you tell me what exactly was not paid? Then I can explain this better before I make this payment. Best regards xxx"
2019-04-15,"Hello. For this I need a return slip. Once again, one was not sent over a partner. Thank you."
2019-03-17,"Hello dear xxx, Unfortunately, there is a hole on the back skirt pocket. Gradually, it is really annoying and a pity that I often reclaim things. Sincerely xxx"
2019-03-17,The order has already been paid and will be canceled by you as the item is no longer available! Refund the amount immediately. Deadline for this until 19.03.xxxxx I&#39;m waiting for several refunds !!
2019-03-27,"xxx, The items I have already returned with the order xxx together. But status of the order is still open, can you please check the return? Thank you. Best regards xxx"
2019-04-02,Good day I have received a reminder for this order. But I did not receive this order. Best regards xxx
2019-04-30,"The choice of goods, the fast delivery of the goods and the possibility of an uncomplicated return of the goods in case of dislike, lack of fit etc."
2019-04-02,"Hello, The package has not arrived, as well as the other orders from 26.3. the customer service has refunded the others and said I should order at, but I had the sale discount on the orders, which is now lost. Is there a way to order at the same price?"
2019-04-09,"Dear xxx Team, I received the above shipment on 02.04.19 and sent it back on 06.04.19. According to xxx, she was delivered on 09.04.19. Now I have received a payment request with dunning notice. That surprised me a lot. Then I have now instructed the amount to you, although he will then be refunded again. Will a reminder fee be due anyway? I think that would be unfair. I ask you to check the facts. Best regards xxx"
2019-04-12,"xxx, unfortunately I have to complain from my order with the order number: xxx, this is the article no. xxx. At the corners of the attached parts, the seams dissolve, photos can be gladly presented later. How do we continue here? Best regards xxx xxx"
2019-04-18,"Dear ladies and gentlemen I bought these shoes a few weeks ago, I have already ordered the shoes of Puma for 2 times because the first ones were defective on delivery but after a few days these shoes started to squeak. I have worn the other shoes for a very long time, but after a short while I realized that they are slowly breaking. As an international dealer, I would have thought that the goods would be high quality, which unfortunately they are not."
2019-03-17,"Hello, it is possible to change the shoe size from 40 to 39 still. If so, then I ask you to send the size 39 Women&#39;s Shoe. Many Thanks. LG Karina"
2019-04-06,"Hello, I have received a reminder in the amount of CHF 7.00. Now it&#39;s the case that I just keep the xxx in white and black and have already paid for it. The remaining items have already been returned to you. The payments (CHF 32.00 &amp; CHF 28.00) were settled on 18.02.xxxx with the reference number 00 xxx xxxxx xxxxx. Thus, in my opinion, the bill is completely paid. I ask you to check that and thank you for your feedback. Best regards xxx"
2019-05-12,"I got quite different shoes, even the size is not mine!"
2019-04-02,"I received sports pants from Adidas, but unfortunately the return label is missing. Could you give me one? Thank you very much"
2019-04-09,"Dear xxx Team I refer to my order xxxxxxxxxxxxxx Article &quot;Jimmy Lion xxx Socks&quot; I have ever worn 2 of the ordered 5 pairs I would like to say, these have not been washed yet and please take a look at the quality in the photo. I&#39;m not that way, but I do not think that should be so.Your socks of the xxx series are xxx and cheaper.Have you a suggestion on how we can stay because the quality of &quot;Jimmy Lion xxx Socks&quot; is miserable :-( I&#39;m looking forward to your answer and wish you a good and successful day.Thank you Janic Marty PS Unfortunately, the proof photo could not be sent to xxx (address is no longer active - autoresponder)."
2019-04-25,"Dear Ladies and Gentlemen, For the above mentioned order number I have kept the xxx® 17.95 € xxxxxxx - Bathing-Toe Separator - navy / red and also paid. The two swimsuits went on 16.04.xxxx at 15:39:03, Shipment number xxxxxxxxxxxx (shipment receipt is me) by DHL back to you. I will therefore not transfer the requested amount of xxxx90 EUR. Please confirm to me (based on the item number the package arrived at you), that you have received the goods back and there is no more open invoice amount for this order. Many thanks and best regards xxx"
2019-03-25,The xxx shoes have a hole in the fabric after less than a year. I handled these shoes properly. Unfortunately already hole in the fabric despite more than xxxx Best regards Walder
2019-03-27,"Dear xxx Team, I did not receive the order until 14.03 and sent back items from this order to you today, as I have 14 days to send them back. I am happy to transfer my retained amount immediately. Best regards, xxx"
2019-03-29,"Good day, have the suit (Frs xxxx-) from this order for a long time back, as well as the article cocktail dress (Frs xxxx-) from order xxx on 19.3. returned. Later returned items have been received successfully and I&#39;m starting to worry about whether these 2 other packages have arrived. Please check that for me. Many thanks and best regards, xxx"
2019-03-04,"Good day! In the above order, I only kept the thermo shirt from Reebok. On 14.02. 69.95 EUR was deducted from my account. You may have made a mistake. With kind regards, xxx"
2019-03-17,"Dear xxx-Team, At the end of January I ordered from you the xxxxxxxxxxxxxxx - Ankle Boot - black from xxx. xxx completely xxx from the shoes and wear them very much. Unfortunately, after a short time on one of the shoes, a seam on the rubber thumb has come off and the seam now goes on and on. If necessary, I would like to send you a photo of this error. I ask for information of the further proceeding. Many thanks and best regards xxx"
2019-03-17,"My order was canceled for some reason, do not know why I watched the program and there it stands. It&#39;s not the first time. xxx what happened, and I bought it on bill. I&#39;ll turn to a lawyer on fraud do not let me."
2019-04-26,"Also on the phone, I could browse the catalog well. No technical difficulties. Well done."
2019-04-04,"Dear Ladies and Gentlemen, With great wonder I have taken note of your mail. I transferred the open amount of my orders on 25.02.xxxx to you. The 85,35 EUR distribute with 45,40 EUR on the order number xxx and 39,95 EUR on the order number xxx. In my view, therefore, no amount is open. I ask you to check the process. Best regards Anja Loseries PS. I find it impossible that you can not email them. And the contact options can only be found by extensive search on the website. Customer service and usability look different."
2019-04-23,"Hello, I forgot to transfer the invoice amount. Since I&#39;m currently still abroad, it would be easier for me to pay the amount due including reminder fees via Paypal. Is it possible to subsequently change the payment method to Paypal? Thank you and best regards xxx"
2019-04-01,good day have the open item from this order of xxx ¬ today referred to you and hope for early credit on my account thanks a lot :) LG
2019-03-28,"Hello dear xxx team, a few days ago I already had contact with two of your colleagues regarding my order mentioned above. This did not arrive with me and went back to you. A colleague has confirmed this to me and announced a credit. When this was not noted in my customer account after a few days, I again sought contact by mail. Then I was asked for a little more patience until the credit is recorded. Meanwhile, I have already received the 2nd reminder and still receive no credit. I would like to save further costs by another reminder and ask you to take care of the credit. Best regards, xxx"
2019-04-01,"Dear Ladies and Gentlemen. For the above order, we had already arranged the return days ago and received from xxx, a return confirmation / credit for other items contained in this package. You have charged us with an item because of your complaint, as it was claimed to have been worn - this invoice is open. I ask you to check where the article still in question remains in your home. Sincerely, xxx."
2019-04-01,"Dear Ladies and Gentlemen, I also sent this bra back and did not keep it! I only kept the shoes from this order and paid for them! Sincerely, xxx"
2019-03-22,"Dear Ladies and Gentlemen, Unfortunately, I have a complaint to the above article. The belt has been in normal use since delivery just under six weeks ago and has already severely worn off at the level of the holes. This is very annoying, because actually he is no longer acceptable. Is there a way to replace the product? Many Thanks! Best regards xxx"
2019-04-02,"Dear team, on this order, I accidentally overdue 12/13 € .... Your colleague wrote me an email that you this sum of an open bill to count .... on which of the outstanding bills would this amount credited? MfG xxx"
2019-04-23,"Hello, I was sent by mail today xxx transfer the open account of xxxx38 €. 4 parts from this shipment were returned, DHL Retoure xxxxxxxxxxxx The 2 parts that I have kept: Esprit jacket 34.95 € and S.Oliver xxx nude 49.95 € were in total 79.90 € already on 23.04.19 with transferred to the correct purpose. I ask you to check the matter and cancel the payment request. Sincerely, xxx"
2019-03-17,"Hello, I would like to return this order, but I can not get any further here. Can not create a return. xxx"
2019-04-30,"Hello dear xxx. At the beginning of October, I bought a xxx maternity pants from you. Unfortunately, within a short time a belt buckles &quot;bracket&quot; torn, this I have patched. Another one dissolves already. Now a hole has been created between my legs, probably from the friction. I think yes, for the few months of life, that is very inferior for a pair of jeans. Is it possible to exchange the pants or is it already under &quot;normal&quot; wear and tear? The &quot;customer service&quot; of xxx has referred me to the seller, so xxx. Sincerely, xxx"
2019-04-01,"Hello, both of the above articles were delivered via an extra package. Since the Aritkel does not correspond to the, as it was shown, xxx instead of long, I want to send this back. A corresponding xxx / label was not included in the package. I would therefore ask you to make one available to me or to contact your partner on my behalf due to the circumstances. many Greetings"
2019-03-27,"Hi, I ordered the sneakers from puma in size 37, unfortunately size 21.5 arrived. xxx next? Thanks and greetings xxx"
2019-03-17,"Dear ladies and gentlemen, I refer to the following product xxx HIGH xxx - Trousers - gray, xxx No .: xxx, Size: 36 of my order: Order No. xxxxxxxxxxxxxx Order date 04. March xxxxx I have the xxx worn twice and on the second day the seam has loosened on the buttocks and a hole is created. The products that I usually purchase from xxx meet a different quality standard. Therefore, I ask you to resend the pants or to refund the amount. If desired, I can return the pants. I ask for feedback. Best regards xxx"
2019-03-17,The hoodie was worn a few times and the visible seams on the front ribbed as well as the stitching on the letters on the front.
2019-03-17,"xxx! Regarding the order number mentioned above, I would like to inform you that a return has already taken place - I will be happy to send you a confirmation of the posting! Sincerely, xxx"
2019-03-17,"The order was due to arrive on Saturday and I was home to the whole xxx. Supposedly no one in the afternoon and in a branch abgolbar Monday from 15 clock. Twice in the afternoon there was no package. In the evening a new info comes Tuesday. Was sick at home all day. Nothing came and status unchanged. I&#39;ve never had such a mess !! The package is now xxx? Or is driving around since Saturday. I definitely have no info. It&#39;s a pity Sincerely, xxx"
2019-03-21,"Hello I had ordered the gray / white sneakers from Nike (White Sole / Gray Shoes) but got the black / gray ones delivered. (Black Sole / Dark Gray Shoe) Could it be that you are offering the False Sneakers here? Since I did not find the one I got with you. And what possibilities exist now to proceed without a return? Sincerely, xxx"
2019-03-21,"Dear xxx Team, During the first wash cycle (cold water, hand wash mode, single garment in the washing machine) and a lot of pulling my sweater is only 1/3 of its original size. Besides, it has lost a handful of wool. I am happy to send you pictures. Best regards, xxx"
2019-03-25,"Dear Ladies and Gentlemen, The Hoody by Altpha is now cheaper. None of the reasons listed above apply. Delivery only yesterday, reduction for ordered size, etc. please check, furthermore there is an additional 15% on reduced goods. If you can not grant me these either. Can I order everything new and send back what I have here, if this is easier for the transaction. Sincerely, xxx"
2019-03-17,"Hello, I would like to return the soccer jersey from my last order. This was delivered by &#39;shoes.de&#39;. I ask for return documents. Many Greetings! xxx"
2019-03-17,"Hello, I have 4 items on this order. If I want to return the articles only 2 instead of 4 will appear. What can I do? Thank you for your reply. Yours sincerely, xxx"
2019-03-21,"Hello dear xxx team, first I wanted to say thank you for you fast delivery of my new jacket. Unfortunately, the jacket in the inner part of the zipper on the collar is not quite processed properly. The double seam of an inner seam is over the collar. So I wanted to ask for a discount. I am happy to send you photos if necessary. I wish you a nice day and look forward to your answer. LG Irene"
2019-03-20,"Dear Ladies and Gentlemen, The lettering on the front of the jacket has come off, which looks very unfavorable. Should not happen in this short time and at the price. The jacket was recently washed for the first time (30 degrees gentle cycle, as stated by the manufacturer). Please tell me if the amount can be refunded or the jacket can be exchanged for a new one in size xxx. I like to send photos if you need them. Sincerely, xxx"
2019-04-11,I sent these two articles back why did not I get it credited yet?
2019-03-22,"Good day. I received the delivery. In the pink jacket, I just saw when I wanted to cut off the label and wanted to xxxxxen in the laundry, that probably on the back a bit of the fabric is raised. Is there a possibility of a small discount? Thank you in advance for your efforts! Sincerely, xxx"
2019-04-15,"Dear Ladies and Gentlemen, Unfortunately, this order was posted to you as a complete return without the package ever reached me. The shipment was apparently sent directly to your return delivery center. This is of course especially xxxxxxen annoying, since the items are mostly sold out and a new order is therefore not possible. Greetings xxx"
2019-03-27,"I would like to return the order from above, or I have already given up the package. Unfortunately I can not register the feedback online. Please help. Many thanks. Best regards, xxx"
2019-04-01,"Hello xxx team, when checking the bill, I found that from the above order is still 26 euros open. Unfortunately that is not correct. It would only keep the bra over 16, 50 euro. The slip over 9.50 Euro would be returned. With the request for verification and credit I remain xxx"
2019-03-17,Need invoice for purchased items
2019-04-25,"Hello, after two washes already dissolves the fabric of the blouse. A hole forms in the area of the décolleté. If necessary, a photo can be sent. Thanks and LG"
2019-05-02,I think that&#39;s good
